id_parlamentar_parlametria,id_proposicao,casa
222,a8c14542283fc3ae070936db80e96f53,senado
2345,fe7cfbab57365f881a499a0d4d95377f,senado
2475,5a7c98cbe272e1fa0b3e4fff8e0aa043,senado
2475,f68848eb3c9393fce88a6b2dfd7b8919,senado
2581,2c804dd3d9aa6cc5fc434f3cdbf2d943,senado
2604,030edaf9011b1ce30f55f11ddb9a57c5,senado
2604,39873bc6679d7a6349c92cd7c9d974ea,senado
2635,3b6dd0da600695a3d7e6fc5c3b584a33,senado
2677,22c76e6b7abdf0cf9b2337ef39e9eaf0,senado
2677,39873bc6679d7a6349c92cd7c9d974ea,senado
2677,87ce7a2c69509ece6fbb75a4c9167588,senado
2739,34d718f1cd9d10f46749a48041456be4,senado
2742,659fb8d260231dc5f5a5b119abad355e,senado
2742,aba9b5dca4b8402d6a9c0c248035af26,senado
2825,55be80a3d1b1a204255237b6f7e5dfc2,senado
21173,5e6e5476f7d00e0cd38bc8442b8cca68,senado
21173,b0ceafc127cd211c3e90c39d88420219,senado
21249,9104fcae3c644d1e87007b78bebd26b9,senado
21249,bc68ebfe9b8a371617b519da303e61f4,senado
23396,e01d193bbc3d825218496f02b85dc88f,senado
23777,901ea08b30f5af43b3da90511ece62ff,senado
23777,b37cb0bcc90da4930e8c49668bf2caf2,senado
23823,5bac63e76ffeab7049afbabb9354c53b,senado
23830,dea3cc9f88092539c590a6102d5751a1,senado
24531,74dc1d8875af5dffa1a2f4f57e2eb7dd,senado
24721,39873bc6679d7a6349c92cd7c9d974ea,senado
24770,5cabaae949c9c7c500d5bd644285b2c5,senado
24770,d4b18b725f0b9a1f51d8b18e4cf5a7e0,senado
24770,f28567abb892a28f38ffa0003ee52e64,senado
24994,e01d193bbc3d825218496f02b85dc88f,senado
25012,39873bc6679d7a6349c92cd7c9d974ea,senado
25236,9104fcae3c644d1e87007b78bebd26b9,senado
25350,f11cbc363d206e4e8af8f64f771a519d,senado
25352,8c68426fefc96e8f847e37ad2edea2f0,senado
25411,681e5415151f9276e56b77ba1550a9e1,senado
25422,30395c7a4b419079d735f8eed28a41fe,senado
25422,e01d193bbc3d825218496f02b85dc88f,senado
25523,4b614be3c2b8afcd60b49785a1ce92d1,senado
25525,47f9307e3b4a113f65dd3a1b77a22930,senado
25525,70422a915a4383eea2823d41b5e44dd6,senado
25525,a70f71abccd6b13c8242d76e33665f53,senado
25525,e39c6a8c3dee62975ea0e6d79ddd0ee2,senado
25527,627993e6465b73a30b1e518f70ab0618,senado
25529,a331a57a6c5a1df24d2b6742bf241050,senado
25531,15d27c8a3e895600fdfdd817553a6770,senado
25531,dbe3f754a672289ad9d9e48018478b8e,senado
25537,ade2d7bbfeb44da4539bdb62ca93e9eb,senado
25540,0f925a3f704fcb3996b9e0201bc5d154,senado
25540,3c733e0c6299f5c2d644ab5ed4828ec4,senado
25540,4117c1b174df534da8eabf0023dce14e,senado
25540,62bb4cf52ca521ada6d5ef6fdf024589,senado
25540,dfb9079d68d7469953b8b9d384fdae7a,senado
25540,e01d193bbc3d825218496f02b85dc88f,senado
25666,e1e4186a587f29a0e6e91fd611b13900,senado
25748,33f9158161f50253d875d8466ba35599,senado
25748,eed579c4fd446be90bd1660204e49cd8,senado
25894,bff1e9a505d0eee2b74f80b3bd9977e2,senado
25895,2d3f7dcbde06c0a4f88f04216b0d4967,senado
25899,657ef36227791c5254b215bab785aaba,senado
25924,8c64c907761438f01638e41fcb28d0ab,senado
25953,0ebf075743d48207c7c03d5ff348ec12,senado
25953,1f91e9eaad9732b2ace2e8589b8b7b2f,senado
25953,556ae3e5173a9d96003aa16281c44f69,senado
25953,99322057d665d20633cbd0d401de297c,senado
25953,f8f266efa4b9dc91e4d1407049f5e820,senado
25967,faa28548a976b41a6261f64b7d3e931c,senado
25973,8d3320d2fbc75a8cad93f633b52f2bc9,senado
25976,9104fcae3c644d1e87007b78bebd26b9,senado
25982,ba9b9c25cbb737369245a9b06d6cff42,senado
25985,1507a1edb062b3a7708253a0532c46a0,senado
25988,d5d1a579ad8a7733803d6a477c34f121,senado
26027,9104fcae3c644d1e87007b78bebd26b9,senado
172442,22c76e6b7abdf0cf9b2337ef39e9eaf0,camara
172912,528e36f7be0c97bcb1ef9c5ad365af3b,camara
173434,541097e7e136236a4db856819ce0b60d,camara
173434,efe8ebf985e4d5c1272841e27b9f7e9f,camara
173466,c1fef5ebaf25110a3a3a66cf7f01788d,camara
173478,870f208aac3f2ab198e962849fca98ad,camara
173535,5bac63e76ffeab7049afbabb9354c53b,camara
173553,ed6f34077089e3f83fd5c2cb406e4876,camara
173556,f2d2c5386c8c09d26f45c9f06f1759b2,camara
173701,e21dab054eb793a92388b2065392c5e7,camara
173701,f236e211d1f86fb8afdf373d77a9c71c,camara
173778,9f90ec4b984f15216bb5bf4374687f85,camara
173778,ed6f34077089e3f83fd5c2cb406e4876,camara
173935,870f208aac3f2ab198e962849fca98ad,camara
174000,870f208aac3f2ab198e962849fca98ad,camara
174010,bf906e4e69a3f0864cf079fc194eed1b,camara
174050,9cc39bc2b73e450095983bfd19d7647a,camara
174050,bf906e4e69a3f0864cf079fc194eed1b,camara
174057,60019a64b9307d80f6243835c6b71c81,camara
174057,d13e5daeb208c070bdc9d43231ee9a73,camara
174075,410c719db9d5359a008fd82675365691,camara
174090,541097e7e136236a4db856819ce0b60d,camara
174111,efe8ebf985e4d5c1272841e27b9f7e9f,camara
174124,f2d2c5386c8c09d26f45c9f06f1759b2,camara
174149,bf906e4e69a3f0864cf079fc194eed1b,camara
174200,2c804dd3d9aa6cc5fc434f3cdbf2d943,camara
174216,b5e4311d58efc78450865cadf4c4a3b5,camara
