id_parlamentar,casa,nome_eleitoral,partido,UF,tem twitter?,twitter,twitter2 (se houver),facebook (não conferido),nome_civil,fazendo
204554,câmara,ABÍLIO SANTANA,PR,BA,sim,AbilioSantana_,,https://www.facebook.com/pastorabiliosantana/,JOSE ABILIO SILVA DE SANTANA,feito
204521,câmara,ABOU ANNI,PSL,SP,sim,abouannipv,,,PAULO SERGIO ABOU ANNI,feito
204379,câmara,ACÁCIO FAVACHO,PROS,AP,sim,acaciofavacho,FavachoAcacio,,ACÁCIO DA SILVA FAVACHO NETO,feito
204560,câmara,ADOLFO VIANA,PSDB,BA,sim,AdolfoViana_,,,ADOLFO VIANA DE CASTRO NETO,feito
204528,câmara,ADRIANA VENTURA,NOVO,SP,sim,adrianasounovo,,,ADRIANA MIGUEL VENTURA,feito
121948,câmara,ADRIANO DO BALDY,PP,GO,sim,AdrianoBaldy,,,ADRIANO ANTÔNIO AVELAR,feito
74646,câmara,AÉCIO NEVES,PSDB,MG,sim,AecioNeves,,,AÉCIO NEVES DA CUNHA,feito
160508,câmara,AFONSO FLORENCE,PT,BA,sim,AfonsoFlorence‏,,https://www.facebook.com/afonsoflorence13,AFONSO BANDEIRA FLORENCE,feito
136811,câmara,AFONSO HAMM,PP,RS,sim,depafonsohamm,,https://www.facebook.com/depafonsohamm,JOSÉ ALFONSO EBERT HAMM,feito
178835,câmara,AFONSO MOTTA,PDT,RS,sim,afonso_motta,,https://www.facebook.com/AfonsoMottaOpina,AFONSO ANTUNES DA MOTTA,feito
160527,câmara,AGUINALDO RIBEIRO,PP,PB,sim,depaguinaldo11,aguinaldo1111,https://www.facebook.com/Aguinaldo-Ribeiro-139579162731192,AGUINALDO VELLOSO BORGES RIBEIRO,feito
204495,câmara,AIRTON FALEIRO,PT,PA,sim,FaleiroAirton,FALEIRO13,,AIRTON LUIZ FALEIRO,feito
204549,câmara,AJ ALBUQUERQUE,PP,CE,não,,,https://www.facebook.com/antonijose.11,ANTONIO JOSE AGUIAR ALBUQUERQUE,italo
178836,câmara,ALAN RICK,DEM,AC,sim,Alan_Rick,,https://www.facebook.com/deputadoalanrick,ALAN RICK MIRANDA,feito
160559,câmara,ALCEU MOREIRA,MDB,RS,sim,Alceu_Moreira,,https://www.facebook.com/depalceumoreira,ALCEU MOREIRA DA SILVA,feito
204413,câmara,ALCIDES RODRIGUES,PRP,GO,não,,,,ALCIDES RODRIGUES FILHO,nazareno
204545,câmara,ALÊ SILVA,PSL,MG,sim,oficialalesilva,,,ALESSANDRA DA SILVA,feito
204501,câmara,ALENCAR SANTANA BRAGA,PT,SP,sim,AlencarBraga13,,,ALENCAR SANTANA BRAGA,nazareno
160511,câmara,ALESSANDRO MOLON,PSB,RJ,sim,AlessandroMolon,,https://www.facebook.com/MolonRJ,ALESSANDRO LUCCIOLA MOLON,feito
178972,câmara,ALEX MANENTE,PPS,SP,sim,alexmanentepps,,https://www.facebook.com/alexmanentesbc,ALEX SPINELLI MANENTE,feito
204571,câmara,ALEX SANTANA,PDT,BA,sim,depalexsantana,,https://www.facebook.com/depalexsantana/,ALEX MARCO SANTANA SOUSA,feito
204544,câmara,ALEXANDRE FROTA,PSL,SP,sim,alefrotabrasil,,,ALEXANDRE FROTA DE ANDRADE,feito
160545,câmara,ALEXANDRE LEITE,DEM,SP,sim,lexandreleite,,https://www.facebook.com/DeputadoFederalAlexandreLeite,ALEXANDRE LEITE DA SILVA,feito
204503,câmara,ALEXANDRE PADILHA,PT,SP,sim,padilhando,,,ALEXANDRE ROCHA SANTOS PADILHA,feito
178833,câmara,ALEXANDRE SERFIOTIS,PSD,RJ,sim,AleSerfiotis,,https://www.facebook.com/alexandreserfiotis,ALEXANDRE AUGUSTUS SERFIOTIS,feito
204516,câmara,ALEXIS FONTEYNE,NOVO,SP,sim,AlexisFonteyne,,,ALEXIS JOSEPH STEVERLYNCK FONTEYNE,feito
74057,câmara,ALICE PORTUGAL,PCdoB,BA,sim,Alice_Portugal,,https://www.facebook.com/deputadaaliceportugal,ALICE MAZZUCO PORTUGAL,feito
178927,câmara,ALIEL MACHADO,PSB,PR,sim,alielmachado,,https://www.facebook.com/Alielmachadooficial,ALIEL MACHADO BARK,feito
204353,câmara,ALINE GURGEL,PRB,AP,sim,alinegurgel1000,,,ALINE PARANHOS VARONIL GURGEL,feito
204400,câmara,ALINE SLEUTJES,PSL,PR,sim,AlineSleutjes,,https://www.facebook.com/alinesleutjes/,ALINE SLEUTJES,feito
178937,câmara,ALTINEU CÔRTES,PR,RJ,sim,Altineu,,https://www.facebook.com/altineu,ALTINEU CÔRTES FREITAS COUTINHO,nazareno
178881,câmara,ALUISIO MENDES,PODE,MA,sim,AluisioMendesMA,,https://www.facebook.com/AluisioMendesOficial,ALUISIO GUIMARAES MENDES FILHO,nazareno
204356,câmara,AMARO NETO,PRB,ES,sim,amaronetotv,,,AMARO ROCHA NASCIMENTO NETO,feito
178831,câmara,ANDRÉ ABDON,PP,AP,sim,dep_andreabdon‏,,https://www.facebook.com/depandreabdon,ANDRE DOS SANTOS ABDON,feito
74471,câmara,ANDRÉ DE PAULA,PSD,PE,não,,,https://www.facebook.com/andredepaulaoficial,ANDRÉ CARLOS ALVES DE PAULA FILHO,nazareno
204423,câmara,ANDRÉ FERREIRA,PSC,PE,sim,aferreira2020,,https://www.facebook.com/oficial.andreferreira/,ANDRÉ FERREIRA RODRIGUES,feito
133439,câmara,ANDRÉ FIGUEIREDO,PDT,CE,sim,andrepdt12,,https://www.facebook.com/DeputadoAndreFigueiredo,ANDRÉ PEIXOTO FIGUEIREDO LIMA,feito
178882,câmara,ANDRÉ FUFUCA,PP,MA,sim,DepAndreFufuca,,https://www.facebook.com/andrefufuca,ANDRE LUIZ CARVALHO RIBEIRO,nazareno
204515,câmara,ANDRÉ JANONES,AVANTE,MG,sim,AndreJanonesAdv,AndreJanones,,ANDRE LUIS GASPAR JANONES,feito
73696,câmara,ANGELA AMIN,PP,SC,sim,angelaamin11,,,ANGELA REGINA HEINZEN AMIN HELOU,feito
160553,câmara,ANTONIO BRITO,PSD,BA,sim,antoniobritoba,,https://www.facebook.com/britoantoniobahia,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,feito
73433,câmara,ARLINDO CHINAGLIA,PT,SP,sim,achinaglia,,https://www.facebook.com/depchinaglia,ARLINDO CHIGNALIA JUNIOR,feito
141391,câmara,ARNALDO JARDIM,PPS,SP,sim,ArnaldoJardim,,https://www.facebook.com/deputadoarnaldojardim,ARNALDO CALIL PEREIRA JARDIM,feito
204414,câmara,AROLDO MARTINS,PRB,PR,sim,aroldomartins,,,JOSE AROLDO SOUZA MARTINS,feito
160541,câmara,ARTHUR LIRA,PP,AL,sim,ArthurLira_,DEPArthurLira,https://www.facebook.com/arthurliradeputadofederal,ARTHUR CÉSAR PEREIRA DE LIRA,feito
160600,câmara,ARTHUR OLIVEIRA MAIA,DEM,BA,sim,departhurmaia,,https://www.facebook.com/arthur.oliveiramaia,ARTHUR DE OLIVEIRA MAIA DA SILVA,feito
159237,câmara,ASSIS CARVALHO,PT,PI,sim,assis_carvalho,,https://www.facebook.com/assiscarvalho.pt,FRANCISCO DE ASSIS CARVALHO GONÇALVES,feito
