id_tweet,username,text,date,url,reply_count,retweet_count,like_count,quote_count
1097220225446096900,fasalles,@Claumusico @Amanda00948418 @KatiaAbreu Boa!!!,2019-02-17T19:44:21Z,https://twitter.com/Fasalles/status/1097220225446096896,1,0,1,0
1096925453833723900,fasalles,@Ronaldo_SPFC84 @KatiaAbreu Já deu né?,2019-02-17T00:13:02Z,https://twitter.com/Fasalles/status/1096925453833723904,1,0,2,0
1096850023520890900,fasalles,@MendoncaAilton @KatiaAbreu Mereceu! Tá se achando! Rsrs,2019-02-16T19:13:18Z,https://twitter.com/Fasalles/status/1096850023520890880,0,1,6,0
1096533427690577900,fasalles,@felipe_kathia @aeciofaraujo @KatiaAbreu @YouTube Com certeza!,2019-02-15T22:15:16Z,https://twitter.com/Fasalles/status/1096533427690577920,0,0,0,0
1096524173613191200,fasalles,"@KatiaAbreu 1- Não quero ser vc pq é feia 2- Nao quero ter o q vc tem feito de corrupção, não conseguiria dormir. 3- nunca faria o q vc faz, grosseira e barraqueira q adora roubar pastas.",2019-02-15T21:38:30Z,https://twitter.com/Fasalles/status/1096524173613191169,47,76,582,5
1094695522097655800,fasalles,"@KatiaAbreu Tadinho do menino, não merece! Pena é será feito do meio!",2019-02-10T20:32:05Z,https://twitter.com/Fasalles/status/1094695522097655808,0,0,2,1
1092457945693151200,fasalles,"@KatiaAbreu Vc é simplesmente uma vergonha! Eu se fosse vc, ficaria um ano quieta depois deste papelão. Deveria ser punida. Broaca!",2019-02-04T16:20:45Z,https://twitter.com/Fasalles/status/1092457945693151233,0,0,12,0
1091484623228600300,fasalles,@artur_slo @KatiaAbreu #katiaAbreuSurtou,2019-02-01T23:53:07Z,https://twitter.com/Fasalles/status/1091484623228600321,0,0,2,0
1091500833014009900,draclaudiabr,@naulbaglier @Desesquerdizada @KatiaAbreu @renancalheiros Bingo!,2019-02-02T00:57:32Z,https://twitter.com/DraClaudiaBr/status/1091500833014009856,0,0,2,0
1091465167857217500,draclaudiabr,"Seu salário Sr @KatiaAbreu e o seu tb @renancalheiros SAO PAGOS POR NÓS! A luz, a água,funcionários e demais estruturas p essa eleição TB SÃO PAGAS POR NÓS BRASiLEIROS! Aceitem as regras e tenham um mínimo de dignidade ao apagar das luzes.Saibam perder pq perderão mto mais ainda.",2019-02-01T22:35:49Z,https://twitter.com/DraClaudiaBr/status/1091465167857217536,3,44,118,1
1091462453509136400,draclaudiabr,"@KatiaAbreu Volta para as trevas pessoa sem índole,sem educação, sem postura de parlamentar, indigna de representar qq cargo político, arruaceira, desequilibrada, histérica,vergonha do país,não à toa foi vice de outro desequilibrado. Os iguais se completam mesmo. #KatiaAbreuvergonhanacional",2019-02-01T22:25:01Z,https://twitter.com/DraClaudiaBr/status/1091462453509136386,20,78,374,8
1084478660478988300,real_tmavplus,"@KatiaAbreu Isso é conversa fiada, queremos saber oque fazem aí. Temos o direito já que pagamos seus salários.",2019-01-13T00:00:00Z,https://twitter.com/Real_TMavPlus/status/1084478660478988289,1,4,42,NA
1395439188883951600,dimacgarcia,@KatiaAbreu Falta bem pouco para o seu mini reinado acabar. Não pense que o poder dura para sempre. https://t.co/gyJFjTZ8rE,2021-05-20T18:00:03Z,https://twitter.com/dimacgarcia/status/1395439188883951617,15,60,660,3
1394729671611269e3,jnascim,"A fala de Ernesto Araújo, após ser questionado por @angelocoronel_, dizendo que não iria se retratar sobre acusações contra @KatiaAbreu sobre 5G, objeto de novo questionamento de @SimoneTebetms na #CPIdaCovid https://t.co/eaP7AhIRLW",2021-05-18T19:00:41Z,https://twitter.com/jnascim/status/1394729671611269133,0,6,45,2
1394638265265893400,jnascim,"Senadora @KatiaAbreu, a caminho da sessão da #CPIdaCovid que ouve o ex-chanceler Ernesto Araújo: “Que Deus tenha piedade dessa alma” https://t.co/YHUoteizKT",2021-05-18T12:57:28Z,https://twitter.com/jnascim/status/1394638265265893383,5,5,57,9
1111299162811834400,kendrachihaya,"⚠️ Vergonhoso @OmarAzizPSD!!!  ⚡ Defender a ladra de pastas @KatiaAbreu, que, novamente, quer apenas tumultuar, interrompendo o ministro Paulo Guedes, e o senhor o trata dessa forma⁉️   Corporativismo NÃO! Vocês ñ convidaram para ouví-lo? Então o  respeite!!!  #PauloGuedesFICA https://t.co/TXiPTiYQWK",2019-03-28T16:09:02Z,https://twitter.com/KendraChihaya/status/1111299162811834368,13,37,101,10
109699033386974e4,kendrachihaya,@IVANILDEALVESD2 @KatiaAbreu Puro jogo de cena... Está se deliciando c/a divisão divisão da direita causada por essa crise. Está “defendendo“ p/ justamente enganar a platéia Bolsonarista extremista que ñ enxerga o problema que será aprovar as REFORMAS ESTRUTURAIS necessárias para o Brasil não ir a falência.,2019-02-17T04:30:51Z,https://twitter.com/KendraChihaya/status/1096990333869740032,0,0,5,0
1144290923645476900,spd_33,"@KatiaAbreu 🔰Não é fake não. Ele disse a maior verdade. E eu acrescento: a diferença de uma lata cheia de merda para o Lula e a Dilma, é só a lata! #DomingoNasRuas",2019-06-27T17:06:30Z,https://twitter.com/SPD_33/status/1144290923645476864,5,19,56,1
1091776515807854600,nayarafelizardo,@falafabiolima @KatiaAbreu @marciliozeh Não tem nada a ver as duas histórias pq Katinha foi heroína e o grupo lá era criminoso. Mas eu lembrei e até ri.,2019-02-02T19:13:00Z,https://twitter.com/NayaraFelizardo/status/1091776515807854592,0,0,4,0
1091516465319157800,nayarafelizardo,"Não sei pq, mas o episódio da @KatiaAbreu roubando a pasta me lembrou do dia que um grupo entrou na UESPI e roubou a ata da assembleia estudantil que tinha ocorrido. Eles usurparam o DCE e lucraram muitos anos com a venda das carteiras de estudante. Lembra, @marciliozeh?",2019-02-02T01:59:39Z,https://twitter.com/NayaraFelizardo/status/1091516465319157762,2,2,35,1
1091470168100925400,nayarafelizardo,"@KatiaAbreu, quem vê essa carinha de presidente nem imagina que é ganhou a motosserra de ouro. https://t.co/rcsBgmaAS3",2019-02-01T22:55:41Z,https://twitter.com/NayaraFelizardo/status/1091470168100925440,0,0,2,0
1382670762323099600,valdecirdelecl1,@KatiaAbreu Vc saindo do senado já está  bom,2021-04-15T12:22:53Z,https://twitter.com/Valdecirdelecl1/status/1382670762323099648,0,4,45,0
