id_tweet,username,text,date,url,reply_count,retweet_count,like_count,quote_count,mentions
1146107111543386117,katiaabreu,Vitória para todo o país: hoje a Comissão de Assuntos Econômicos aprovou emenda para garantir que o artesanato e as micro e pequenas empresas recebam recursos no Orçamento do ano que vem! https://t.co/u0YycO1m1J,2019-07-02T17:23:23Z,https://twitter.com/KatiaAbreu/status/1146107111543386117,11,8,67,2,
1145653719150800901,katiaabreu,Prefeito de Osasco fala sobre o acidente com explosão em fogueira https://t.co/BiIbFia633 FORÇA E FÉ PREFEITO QUE VC JÁ ESTÁ COBERTO COM A PROTEÇÃO DE DEUS TODO PODEROSO.,2019-07-01T11:21:46Z,https://twitter.com/KatiaAbreu/status/1145653719150800901,8,1,29,0,
1145340751653539840,katiaabreu,"Juntos os quatro países do Mercosul e os 28 da UE (que serão 27 quando o Brexit for formalizado) representa cerca de 25% do PIB mundial, um mercado de 780 milhões de pessoas e uma corrente atual de comércio de US$ 100 bilhões. PRECISÁVAMOS DEMAIS DESTE ACORDO. Sonho realizado.",2019-06-30T14:38:09Z,https://twitter.com/KatiaAbreu/status/1145340751653539840,32,10,116,3,
1145340416499363846,katiaabreu,"Juntos os quatro países do Mercosul e os 28 da UE (que serão 27 quando o Brexit for formalizado) representa cerca de 25% do PIB mundial, um mercado de 780 milhões de pessoas e uma corrente atual de comércio de US$ 100 bilhões. DEUS É BRASILEIRO! O acordo veio na hora certinha.",2019-06-30T14:36:49Z,https://twitter.com/KatiaAbreu/status/1145340416499363846,14,4,42,0,
1129988468048891904,katiaabreu,Isto porque estamos vivendo grave crise. https://t.co/YHPLIiVQyn,2019-05-19T05:53:39Z,https://twitter.com/KatiaAbreu/status/1129988468048891904,12,18,104,6,
1145142806761103360,katiaabreu,"Hoje partiu precocemente um grande profissional. Cordial com todos, querido pelos colegas e extremamente competente, João Cláudio, da Rede Globo, fará muita falta ao jornalismo. Meus sinceros sentimentos aos familiares. Deus conforte seus entes e o receba no Reino dos Céus. https://t.co/toV3StHN3N",2019-06-30T01:31:35Z,https://twitter.com/KatiaAbreu/status/1145142806761103360,9,5,91,0,
1145109274701553665,katiaabreu,https://t.co/4tSfdyow9G PESSOA MUITO ESPECIAL. RARA NOS DIAS DE HOJE. DIFÍCIL DE ACREDITAR. Vida limpa e linda.,2019-06-29T23:18:20Z,https://twitter.com/KatiaAbreu/status/1145109274701553665,4,1,38,0,
1145034042338893824,katiaabreu,https://t.co/EO9FHSstlO,2019-06-29T18:19:24Z,https://twitter.com/KatiaAbreu/status/1145034042338893824,3,1,21,0,
1144417501255733250,katiaabreu,Agora está faltando gravar mais um capítulo. Ou estou enganada? O mundo que antes dava voltas hoje está dando cambalhotas. https://t.co/w4oAxHqrtf,2019-06-28T01:29:29Z,https://twitter.com/KatiaAbreu/status/1144417501255733250,68,43,502,12,
1144398954366472192,katiaabreu,https://t.co/T2cPIdkRGb,2019-06-28T00:15:47Z,https://twitter.com/KatiaAbreu/status/1144398954366472192,4,3,12,3,
1144269470518657025,katiaabreu,É difícil de acreditar. Será que não é Fake??? Rezo que seja. https://t.co/6lISLorEhu,2019-06-27T15:41:15Z,https://twitter.com/KatiaAbreu/status/1144269470518657025,206,35,567,16,
1144235700478455811,katiaabreu,Alguém tinha que ensinar pra eles a brincadeira da”VACA AMARELA”. Brincadeirinhaaaaa😜 https://t.co/5z7PdfamD7,2019-06-27T13:27:04Z,https://twitter.com/KatiaAbreu/status/1144235700478455811,14,10,57,0,
1144233151100796928,katiaabreu,Presidente Davi do Senado tem surpreendido a cada dia. Democrático e cumpre palavra. Não é experiente mas se aconselha muito com os colegas e assessores. Boa surpresa. Eu aplaudo !,2019-06-27T13:16:56Z,https://twitter.com/KatiaAbreu/status/1144233151100796928,78,22,552,10,
1144232126751158272,katiaabreu,"Ontem fizemos justiça aos brasileiros do campo que ficaram excluídos do Estatuto do Desarmamento que votamos em 2003. Agora todos brasileiros com mesmo direito: campo e cidade. Permitido a POSSE em casa e no local de trabalho. PORTE não,  pra todos cidadãos civis.",2019-06-27T13:12:52Z,https://twitter.com/KatiaAbreu/status/1144232126751158272,23,7,46,4,
