id_proposicao_leggo,id_tema
0b012d0a22f60977b1a926fb5396df01,2
118c44a111b807ee8150f8ae25d1ca50,2
118c44a111b807ee8150f8ae25d1ca50,5
21c535efc8fca9cf39c3a30c61a0a8f8,7
4cf2d59bceb3ed122af69546476551c9,2
4f89264b58ac80d3dfe1c7d31549a30c,2
554bb22bbf2e508ce083115fa3621486,5
554bb22bbf2e508ce083115fa3621486,12
8023a643cd263b9ef8a530ae4a2990d7,2
a7e2dab0729304a47ef5577c63300de6,2
c7b2492911f1799f04aa0753c08ed567,13
c9127699f9a374ed918550f552928c21,2
cec80148002502e958d645a507a12a29,2
cf7567910b9ad3b955a9942a88d5774b,2
d51d8c078dab1676b4c24b67fc66d4dd,2
d8a02979d2829415b1b87a300ce96d86,2
abaac5a2637b6613d5601f0d9db25da8,18
abaac5a2637b6613d5601f0d9db25da8,7
6d9fc7ddd9e4a28ec7c43960ad37dec6,19
83e0c321e766943ab3d74dc0f1029655,18
83e0c321e766943ab3d74dc0f1029655,20
31d7f0333b7770983e27442ac4ab3914,19
03eaf3351ec36501a953226d416cdc50,19
9f90ec4b984f15216bb5bf4374687f85,19
22c76e6b7abdf0cf9b2337ef39e9eaf0,19
02bdd0fc39e0e6d1319cd75d2cf2e6d6,19
ea1ced2df5c20fc16e17ee090433b2f6,18
6fba0b249a9fe6d366d096368e79044d,18
f2d2c5386c8c09d26f45c9f06f1759b2,19
73a94308cd0793c404a0e30bd55e9052,18
73a94308cd0793c404a0e30bd55e9052,22
5ba45d75436610f1162933c8bbe5c766,19
ced55ba854e20465027e17b5c46e8ad7,18
ced55ba854e20465027e17b5c46e8ad7,7
7b45d998a68f2175bd0794ae3ee2f26a,19
5f82302b69ca434a088543b6878bd5b5,19
511837233092bcc43beb153d9b6de357,18
511837233092bcc43beb153d9b6de357,22
659fb8d260231dc5f5a5b119abad355e,19
63d8f1d0c4033587eda7eaedb0aee7f6,19
e12f9f8b5cbc1e00863bd47ec4092cf5,19
2a50bb65eebeab67ea590f1abdcb9e52,18
2a50bb65eebeab67ea590f1abdcb9e52,22
e6eb68c606da3998fb6a32b13acaa0d9,19
c9de6503ae49e89984fa838f342511f0,19
ebaa679836749f4bcb7f06269972bec5,19
9528f3e5fa03fc09bb7466f48f447ea6,19
07bd69f53d4f32a8e425f7155cb1cbb8,19
b4d899e8d6f4c23720f63b847109a70b,19
43003510c8bbbfdfef94543c521f6083,19
10afc01447a0ef58c39f1777a1bb121d,19
9127dd227a540c388656ba5f99229555,19
f1f261c592be0940db44e0d814dfbcaa,19
e610fc32eb430d833a11dd973510732f,19
55be80a3d1b1a204255237b6f7e5dfc2,19
43d33f341f0cbf709d9f2e98dcc07ef5,19
cec80148002502e958d645a507a12a29,18
1507a49676e834c9e6e1b9b3fc369796,19
684667fd59de25ad8e62a70ddf9d7594,19
33a1cccaff211ccc372e0f4dcd748179,19
8ea746b0e2baedbbf5e10bb70d2f58d5,19
2a2996adfb7bb68409004d0ea31c36b1,19
b3f97e413061c49bc3968ba7e6ca3ce7,19
9cc39bc2b73e450095983bfd19d7647a,19
8a59f3d5153da8df1a103802dbf4a554,18
8a59f3d5153da8df1a103802dbf4a554,22
4c9055c5a31642082ed2e6aa298dc1c0,19
ebaccad66981f192b15309173d056400,18
c1e0e6e08115596ecefde4b56c3acc93,19
f28567abb892a28f38ffa0003ee52e64,19
4dc10a806336a32a92eb07326010fa94,18
4dc10a806336a32a92eb07326010fa94,22
3ab90dcb68f006dfddf740ef611be18d,19
db5be70756b8b0806fd59f9bf9a47529,19
f22398cb3c824b5dbfc0c97b2d039422,19
b6e7335a89539a9b5fe172c1618b19fd,19
ca18cce08364931e80459c151e29ab5a,19
5e6e5476f7d00e0cd38bc8442b8cca68,19
30395c7a4b419079d735f8eed28a41fe,19
1e3c882c08ae0ea99f01d0b0764af3cc,19
7e56fcfc8d86c4673966b3866da7b70e,19
73eb8a5db8fa68d9fb642ea5b5923c4a,19
f72867fe07317d278761deada16140af,19
978687bed9e449280c2449365c16625f,19
48d92ce54f8b91e93da58d6ed4255b01,19
347381c5556fd4759ee832bd9bfc283a,19
0758feb5b4d3b3e24cd4cd93f9a3f94e,18
0758feb5b4d3b3e24cd4cd93f9a3f94e,7
91b600543e71ff88985790b3f2fe6552,19
4eba6f6a5d5c2f02ef087d755b655dda,19
1cdecfd90a4e8ebf812c2f8664dd65a0,19
2b2475eac4b0bd50f918639f5bf416af,19
2d43a6e5e108973ac891ca9fe0d8eb2d,19
1ee65c0cc3bfb18dfde834c5f48776a8,18
1ee65c0cc3bfb18dfde834c5f48776a8,20
5e51fd41a5c1760fdd6f57bd0b0fcad1,23
8d3320d2fbc75a8cad93f633b52f2bc9,19
79d50595f7c396b9f002807ae22012bf,19
26af75738c807832db568914415bb9c0,18
26af75738c807832db568914415bb9c0,22
0647ce1678323f719c2d5ef3692b1ba9,19
e01d193bbc3d825218496f02b85dc88f,19
ad6fa4ef65ccebeed52af4a6c69e76f6,19
2d74ad223b0f9c6ce33b554ba2a38ee9,19
f68848eb3c9393fce88a6b2dfd7b8919,19
4cad8db7e6edfe62d31aae06c8aca763,19
c2c14659e54e1600011367e4d8fe7949,18
d9a47f0c58ae30a1614a181356b7bdd8,19
031d150d5277001238c53ca42a0ebd91,19
ce8cae7ab2c17c6d6e4d29aaebb75ab1,19
362911252844aed194f3a1be8f21b5d6,19
ac9c4a07dc7db4e112710e6f15e5d33d,18
958ba2f27eb42878399352c44598abcf,19
66f549633daab0c2a3bc11a27545da7f,19
af225c67ea7815ee73d793302020b7fc,19
420f9da84ea8651f08126753c798aeb6,19
f941fd281a343b039e9c5e14dffa965b,19
8528dfccd8d5139842137154b982faa8,24
5edfff7bec62f9662b697c104d3d1f06,18
5edfff7bec62f9662b697c104d3d1f06,22
